Year,Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %
2014,62,Blended,"$127,994,610","$46,294,610",36.2%,"$81,700,000",63.8%
2014,63,Sex Tape,"$126,277,639","$38,543,473",30.5%,"$87,526,036",69.3%
2014,64,The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%
2014,65,The Nut Job,"$120,885,527","$64,251,541",53.2%,"$56,633,986",46.8%
2014,66,PK,"$120,619,695","$10,616,104",8.8%,"$89,754,000",74.4%
2014,67,Pompeii,"$119,755,673","$23,219,748",19.4%,"$94,611,883",79%
2014,68,Seventh Son,"$114,210,959","$17,223,265",15.1%,"$96,955,348",84.9%
2014,69,The Purge: Anarchy,"$112,049,841","$71,962,800",64.2%,"$39,965,565",35.7%
2014,70,"Dad, Where Are We Going?","$111,870,000",-,-,"$111,870,000",100%
2014,71,"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$109,534,148","$66,954,149",61.1%,"$33,700,000",30.8%
2014,72,The Boxtrolls,"$109,383,330","$50,837,305",46.5%,"$57,418,465",52.5%
2014,73,John Wick,"$107,717,854","$43,037,835",40%,"$42,975,221",39.9%
2014,74,The Breakup Guru,"$106,980,263","$208,959",0.2%,"$106,771,304",99.8%
2014,75,Tammy,"$105,912,205","$84,525,432",79.8%,"$15,850,000",15%
2014,76,Transcendence,"$105,754,237","$23,022,309",21.8%,"$80,016,949",75.7%
2014,77,Ouija,"$104,768,804","$50,856,010",48.5%,"$52,734,261",50.3%
2014,78,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
2014,79,Heaven Is for Real,"$101,913,855","$91,443,253",89.7%,"$10,444,766",10.2%
2014,80,The Continent,"$100,125,957",-,-,"$100,125,957",100%
2014,81,The Book of Life,"$100,022,405","$50,151,543",50.1%,"$49,632,013",49.6%
2014,82,Ode to My Father,"$99,085,291","$2,300,121",2.3%,"$96,785,170",97.7%
2014,83,Fleet of Time,"$94,244,191","$569,280",0.6%,"$93,674,911",99.4%
2014,84,The Man from Macau,"$93,864,936",-,-,"$93,864,936",100%
2014,85,Paranormal Activity: The Marked Ones,"$92,487,235","$32,462,372",35.1%,"$58,432,590",63.2%
2014,86,The Hundred-Foot Journey,"$89,514,453","$54,240,821",60.6%,"$35,273,632",39.4%
2014,87,Muppets Most Wanted,"$88,717,785","$51,183,113",57.7%,"$29,200,000",32.9%
2014,88,Deliver Us from Evil,"$87,937,815","$30,577,122",34.8%,"$57,360,693",65.2%
2014,89,A Million Ways to Die in the West,"$87,189,756","$43,139,300",49.5%,"$44,050,456",50.5%
2014,90,Step Up All In,"$86,681,900","$14,904,384",17.2%,"$71,261,262",82.2%
2014,91,The Judge,"$84,419,388","$47,119,388",55.8%,"$37,300,000",44.2%
2014,92,Tiny Times 3.0,"$82,320,000",-,-,"$82,320,000",100%
2014,93,Gone with the Bullets,"$81,387,479",-,-,"$81,387,479",100%
2014,94,Spanish Affair,"$81,269,496",-,-,"$78,768,613",96.9%
2014,95,"I, Frankenstein","$80,249,880","$19,075,290",23.8%,"$57,725,889",71.9%
2014,96,If I Stay,"$80,038,716","$50,474,843",63.1%,"$27,800,000",34.7%
2014,97,Head Full of Honey,"$78,127,384",-,-,"$78,127,384",100%
2014,98,Crimson Peak,"$74,679,822","$31,090,320",41.6%,"$43,589,502",58.4%
2014,99,My Old Classmate,"$73,052,128",-,-,"$73,052,128",100%
2014,100,The Bélier Family,"$72,751,538",-,-,"$72,751,538",100%
2014,101,Brick Mansions,"$71,437,924","$20,396,829",28.6%,"$51,019,901",71.4%
2014,102,Son of God,"$70,829,270","$59,700,064",84.3%,"$11,129,206",15.7%
2014,103,Jersey Boys,"$70,661,790","$47,047,013",66.6%,"$20,600,000",29.2%
2014,104,Think Like a Man Too,"$70,181,428","$65,182,182",92.9%,"$4,999,246",7.1%
2014,105,Selma,"$67,087,438","$52,076,908",77.6%,"$14,711,000",21.9%
2014,106,The Giver,"$67,042,652","$45,090,374",67.3%,"$21,890,082",32.7%
